author,title,url
XaocCPS,Руководство по миграции сервера Parse для разработчиков,https://habr.com/ru/company/microsoft/blog/276407/
getId,Сайт без бекэнда: аутентификация пользователя в BaaS parse.com через социальные сети,https://habr.com/ru/post/248511/
YourDestiny,Безопасность Parse в iOS приложении,https://habr.com/ru/post/247541/
Yoto,Бесплатный реалтайм список онлайн юзеров (Parse.com + Pubnub),https://habr.com/ru/post/266617/
dartmessiah,Почему Facebook не стала поддерживать Parse?,https://habr.com/ru/post/298442/
varerysan,Облачный сервис Parse и Intel Edison,https://habr.com/ru/company/intel/blog/388673/
xZenon,Parse.com закрывается,https://habr.com/ru/post/276135/
xZenon,Parse.com снижает цены,https://habr.com/ru/post/221549/
AndreasCrazyDogVisconti,Parse & Android: рекомендации начинающим разработчикам,https://habr.com/ru/post/435424/
alizar,Facebook купил бэкенд Parse для сторонних мобильных приложений,https://habr.com/ru/post/178053/
